дата;открытие;закрытие;мин;макс
27/09/18;116790;116800;116780;116810
27/09/18;116790;116780;116770;116810
27/09/18;116780;116770;116770;116800
27/09/18;116770;116800;116750;116800
27/09/18;116800;116780;116770;116810
27/09/18;116800;116740;116740;116800
27/09/18;116750;116780;116750;116790
27/09/18;116780;116720;116710;116800
27/09/18;116720;116760;116720;116780
27/09/18;116750;116770;116750;116800
27/09/18;116770;116750;116710;116780
27/09/18;116760;116730;116710;116760
27/09/18;116710;116690;116690;116720
27/09/18;116700;116670;116660;116730
27/09/18;116670;116710;116660;116740
27/09/18;116710;116730;116680;116740
27/09/18;116740;116750;116740;116760
27/09/18;116750;116800;116750;116800
27/09/18;116790;116770;116750;116800
27/09/18;116770;116740;116720;116770
27/09/18;116750;116800;116730;116810
27/09/18;116790;116820;116780;116850
27/09/18;116810;116820;116800;116850
27/09/18;116820;116850;116820;116880
27/09/18;116870;116840;116840;116890
27/09/18;116830;116850;116820;116860
27/09/18;116850;116850;116830;116870
27/09/18;116860;116870;116860;116890
27/09/18;116880;116910;116870;116920
27/09/18;116890;116940;116870;116950
27/09/18;116930;116960;116900;116980
27/09/18;116950;116910;116910;116960
27/09/18;116920;116920;116890;116930
27/09/18;116920;116920;116880;116940
27/09/18;116910;116870;116800;116910
27/09/18;116870;116830;116830;116870
27/09/18;116830;116930;116820;116950
27/09/18;116940;116920;116920;116960
27/09/18;116930;116950;116900;116960
27/09/18;116950;116930;116900;116960
27/09/18;116940;116920;116840;116960
27/09/18;116940;116980;116920;116980
27/09/18;116980;117040;116960;117100
27/09/18;117040;117070;117020;117090
27/09/18;117130;117330;117060;117390
27/09/18;117330;117330;117290;117430
27/09/18;117350;117380;117350;117420
27/09/18;117370;117460;117370;117570
27/09/18;117450;117400;117380;117460
27/09/18;117410;117390;117350;117420
27/09/18;117390;117310;117290;117390
27/09/18;117310;117350;117260;117350
27/09/18;117350;117430;117340;117430
27/09/18;117430;117390;117370;117440
27/09/18;117390;117350;117350;117440
27/09/18;117350;117370;117340;117390
27/09/18;117370;117380;117360;117440
27/09/18;117380;117430;117370;117440
27/09/18;117430;117560;117420;117670
27/09/18;117570;117520;117510;117650
27/09/18;117530;117460;117450;117530
27/09/18;117450;117480;117420;117480
27/09/18;117480;117440;117440;117490
27/09/18;117450;117380;117370;117500
27/09/18;117400;117430;117370;117440
27/09/18;117430;117540;117430;117550
27/09/18;117540;117530;117500;117550
27/09/18;117530;117570;117490;117580
27/09/18;117570;117540;117530;117590
27/09/18;117560;117610;117540;117640
27/09/18;117630;117650;117620;117710
27/09/18;117630;117660;117620;117670
27/09/18;117650;117640;117630;117720
27/09/18;117630;117640;117610;117670
27/09/18;117630;117610;117610;117630
27/09/18;117610;117640;117610;117670
27/09/18;117640;117650;117630;117670
27/09/18;117640;117620;117610;117650
27/09/18;117620;117640;117620;117680
27/09/18;117640;117650;117640;117720
27/09/18;117650;117610;117610;117680
27/09/18;117610;117570;117540;117620
27/09/18;117570;117580;117570;117590
27/09/18;117580;117560;117560;117600
27/09/18;117560;117570;117550;117590
27/09/18;117570;117550;117530;117570
27/09/18;117550;117600;117550;117620
27/09/18;117620;117560;117550;117650
27/09/18;117570;117590;117550;117620
27/09/18;117600;117620;117600;117640
27/09/18;117610;117610;117590;117620
27/09/18;117610;117540;117540;117610
27/09/18;117540;117550;117530;117570
27/09/18;117560;117600;117550;117600
27/09/18;117590;117570;117560;117620
27/09/18;117580;117550;117540;117580
27/09/18;117560;117500;117490;117560
27/09/18;117510;117470;117460;117510
27/09/18;117490;117530;117460;117550
27/09/18;117530;117490;117480;117550
27/09/18;117500;117520;117470;117530
27/09/18;117530;117540;117510;117540
27/09/18;117550;117560;117530;117570
27/09/18;117550;117470;117450;117550
27/09/18;117490;117450;117410;117490
27/09/18;117440;117390;117380;117440
27/09/18;117390;117380;117370;117410
27/09/18;117380;117390;117370;117400
27/09/18;117390;117400;117380;117400
27/09/18;117400;117410;117390;117430
27/09/18;117410;117420;117400;117440
27/09/18;117440;117380;117370;117440
27/09/18;117370;117340;117340;117390
27/09/18;117360;117380;117340;117390
27/09/18;117370;117330;117330;117380
27/09/18;117340;117390;117330;117400
27/09/18;117390;117390;117370;117400
27/09/18;117380;117410;117370;117420
27/09/18;117410;117400;117380;117410
27/09/18;117380;117370;117370;117390
27/09/18;117360;117320;117280;117360
27/09/18;117320;117310;117300;117330
27/09/18;117320;117300;117300;117330
27/09/18;117300;117330;117280;117350
27/09/18;117320;117340;117270;117350
27/09/18;117350;117340;117340;117370
27/09/18;117350;117340;117340;117370
27/09/18;117360;117310;117300;117370
27/09/18;117310;117330;117310;117350
27/09/18;117330;117380;117320;117390
27/09/18;117380;117400;117370;117450
27/09/18;117400;117490;117400;117500
27/09/18;117500;117480;117480;117520
27/09/18;117490;117500;117480;117530
27/09/18;117480;117530;117470;117530
27/09/18;117530;117550;117500;117550
27/09/18;117550;117580;117530;117590
27/09/18;117570;117560;117510;117590
27/09/18;117550;117490;117470;117570
27/09/18;117500;117530;117480;117550
27/09/18;117520;117550;117480;117550
27/09/18;117540;117400;117400;117560
27/09/18;117400;117470;117400;117500
27/09/18;117480;117490;117470;117500
27/09/18;117490;117480;117450;117510
27/09/18;117490;117440;117430;117500
27/09/18;117440;117450;117440;117460
27/09/18;117460;117480;117440;117480
27/09/18;117480;117450;117450;117480
